"SiteID","layerID","SimYear","nvar","Value","sd"
"PA121","3","17","11","25.7971713714749","0.5"
"PA121","3","30","11","26.3043920312128","0.5"
"PA121","1","10","12","11.9379456357089","0.5"
"PA121","1","17","12","12.3726184594132","0.5"
"PA121","1","30","12","13.5301853538545","0.5"
"PA121","2","10","12","25.9661778877818","0.5"
"PA121","2","17","12","26.4058781072201","0.5"
"PA121","2","30","12","27.7158018316255","0.5"
"PA121","3","10","12","35.4254520721075","0.5"
"PA121","3","17","12","36.2319601440421","0.5"
"PA121","3","30","12","37.7323698933116","0.5"
"PA121","1","10","13","1.90515917450911","0.5"
"PA121","1","17","13","2.0406654904364","0.5"
"PA121","1","30","13","2.40941621133681","0.5"
"PA121","2","10","13","7.07710032826092","0.5"
"PA121","2","17","13","7.31988889171564","0.5"
"PA121","2","30","13","8.059262722738","0.5"
"PA121","3","10","13","11.6977390951975","0.5"
"PA121","3","17","13","12.2323753329854","0.5"
"PA121","3","30","13","13.2640303781272","0.5"
"PA121","1","10","14","4.54449557154254","0.5"
"PA121","1","17","14","4.6241249261739","0.5"
"PA121","1","30","14","4.81179382288704","0.5"
"PA121","2","10","14","6.22720630388597","0.5"
"PA121","2","17","14","6.25802658248885","0.5"
"PA121","2","30","14","6.3500091565348","0.5"
"PA121","3","10","14","6.838396183771","0.5"
"PA121","3","17","14","6.88083000096654","0.5"
"PA121","3","30","14","6.95745022027656","0.5"
"PA121","1","10","17","148","0.5"
"PA121","1","17","17","148","0.5"
"PA121","1","30","17","148","0.5"
"PA121","2","10","17","132","0.5"
"PA121","2","17","17","132","0.5"
"PA121","2","30","17","132","0.5"
"PA121","3","10","17","116","0.5"
"PA121","3","17","17","116","0.5"
"PA121","3","30","17","116","0.5"
"PA121","1","10","30","13.6113382565493","0.5"
"PA121","1","17","30","14.7821916444101","0.5"
"PA121","1","30","30","17.9786436939165","0.5"
"PA121","2","10","30","63.1876831925994","0.5"
"PA121","2","17","30","65.6892681194058","0.5"
"PA121","2","30","30","73.3839361637763","0.5"
"PA121","3","10","30","115.53475410094","0.5"
"PA121","3","17","30","121.545279196348","0.5"
"PA121","3","30","30","133.260076959194","0.5"
"PA121","1","10","31","2388.7898640244","0.5"
"PA121","1","17","31","2594.27463359398","0.5"
"PA121","1","30","31","3155.25196828235","0.5"
"PA121","2","10","31","11089.4384003012","0.5"
"PA121","2","17","31","11528.4665549557","0.5"
"PA121","2","30","31","12878.8807967427","0.5"
"PA121","3","10","31","20276.349344715","0.5"
"PA121","3","17","31","21331.1964989591","0.5"
"PA121","3","30","31","23387.1435063386","0.5"
"PA123","1","10","11","9.31930580354155","0.5"
"PA123","1","17","11","10.3960657101791","0.5"
"PA123","1","30","11","12.6762433684309","0.5"
"PA123","2","10","11","21.0063710775463","0.5"
"PA123","2","17","11","21.2911606344532","0.5"
"PA123","2","30","11","21.9302449526955","0.5"
"PA123","3","10","11","24.6599208409126","0.5"
"PA123","3","17","11","24.9555065828438","0.5"
"PA123","3","30","11","25.608309549646","0.5"
"PA123","1","10","12","11.1397814425296","0.5"
"PA123","1","17","12","11.9625217634597","0.5"
"PA123","1","30","12","14.0659000988342","0.5"
"PA123","2","10","12","25.8483770762192","0.5"
"PA123","2","17","12","26.4466458971161","0.5"
"PA123","2","30","12","27.8220292740715","0.5"
"PA123","3","10","12","34.5324486333124","0.5"
"PA123","3","17","12","35.3257462888878","0.5"
"PA123","3","30","12","37.1904047829508","0.5"
"PA123","1","10","13","2.09673349452502","0.5"
"PA123","1","17","13","2.36390710015691","0.5"
"PA123","1","30","13","3.16686048330262","0.5"
"PA123","2","10","13","6.36815596368123","0.5"
"PA123","2","17","13","6.67108403530363","0.5"
"PA123","2","30","13","7.38432609863342","0.5"
"PA123","3","10","13","7.97150861514528","0.5"
"PA123","3","17","13","8.32999575284641","0.5"
"PA123","3","30","13","9.22763045538601","0.5"
